=== Non-Rejectable Cookie Popup Button Analysis ===
Input directory: /mnt/efs/shared/crawler-data/autoconsent-coverage-crawls/2026-03-04/GB/3p-crawl
Date: 2026-03-27T12:16:39.514Z

--- Summary ---
Total JSON files: 99909
Files with potential popups: 80404
Total potential popups: 119532
  └─ AI-confirmed cookie popups: 43161
      └─ No reject buttons: 19592
          └─ No settings buttons: 10259 (aka non-rejectable cookie notices)

--- Button Text Distribution (cleaned, all 3532 entries) ---
Count | Button Text
    2 | aceptar y cerrar
    2 | our 53 partners
    2 | free with personalized ads
    2 | ad-free premium (€3.49 per year)
    2 | do you have premium? log in here
    2 | hyväksyn kaikki evästeet
    2 | cookie use
    2 | i acknowledge
    2 | cookie information opens in new tab
    2 | this website uses cookies
    2 | language: english
    2 | cookie info
    2 | confirm reject non essential cookies
    2 | concordo
    2 | use basic cookies only
    2 | got it !
    2 | mostra dettagli
    2 | accept all done try again
    2 | essential only done try again
    2 | save changes
    2 | choose categories
    2 | cookie tracking policy
    2 | dataset license (opens in a new tab)
    2 | terms of service (opens in a new tab)
    2 | privacy policy (opens in a new tab)
    2 | yes, i understand.
    2 | single selection
    2 | ... more
    2 | spanish
    2 | przeczytaj o polityce prywatności
    2 | back
    2 | find out more about cookies.
    2 | paramètres
    2 | powered by sendpulse
    2 | medical professionals
    2 | polityka prywatności agora s.a.
    2 | rodyti informaciją
    2 | 1014 mūsų partneriai
    2 | i disagree - exit this site
    2 | accepter alle cookies
    2 | confirm my choice
    2 | stillingar á vafrakökum
    2 | leyfa vafrakökur
    2 | politica de confidențialitate
    2 | leisti visus slapukus
    2 | click here to learn about cookie settings.
    2 | im 18+ accept
    2 | godkänn
    2 | cookie information page
    2 | configuración
    2 | more information here
    2 | إدارة التفضيلات
    2 | upmc websiteemail terms of use
    2 | 45 third parties
    2 | adjust settings...
    2 | review cookie settings
    2 | view cookie notice
    2 | apply selection
    2 | hide message
    2 | reject personalised marketing
    2 | id like to find out more
    2 | read more.
    2 | accept all reject all
    2 | cookie settings page
    2 | 1
    2 | privacysecuritycookies page
    2 | すべての cookie を受け入れる
    2 | for more information, read our cookies page.
    2 | political advertising
    2 | aydınlatma metnimizi
    2 | çerez
    2 | นโยบายคุกกี้
    2 | yes, i agree to all cookies
    2 | i dont accept
    2 | i accept cookies from this site
    2 | no thank you
    2 | whats on
    2 | learn more about cookies.
    2 | nope
    2 | thats fine!
    2 | çerez politikamız
    2 | i disagree - leave the website
    2 | enter ts4rent
    2 | only use necessary cookies
    2 | cookie and personal data protection policy
    2 | our cookies
    2 | reject site cookies
    2 | accetta i cookies selezionati
    2 | lista cookies
    2 | informazioni sui cookie
    2 | or agree and continue
    2 | 1699 partners
    2 | for more information, please see our privacy policy
    2 | cookie-richtlinie
    2 | it here.
    2 | manage preference
    2 | plus doptions
    2 | accept additional cookies
    2 | ucc 2257
    2 | cancellation policy
    2 | i want to leave, get me out
    2 | i have an account, i want to login
    2 | yes i am 18+ (with age verification ), x-rated version
    2 | yes i am 18+ (no age verification ), g-rated version
    2 | zwecke anzeigen
    2 | help
    2 | nuestros 717 socios
    2 | akkoord
    2 | reject unnecessary cookies
    2 | deny and use necessary cookies only
    2 | godkänn alla cookies
    2 | hantera cookies
