=== Non-Rejectable Cookie Popup Button Analysis ===
Input directory: /mnt/efs/shared/crawler-data/autoconsent-coverage-crawls/2026-03-04/DE/3p-crawl
Date: 2026-03-27T12:19:43.855Z

--- Summary ---
Total JSON files: 99917
Files with potential popups: 81247
Total potential popups: 129767
  └─ AI-confirmed cookie popups: 47325
      └─ No reject buttons: 20832
          └─ No settings buttons: 16991 (aka non-rejectable cookie notices)

--- Button Text Distribution (cleaned, all 6136 entries) ---
Count | Button Text
   13 | vreau sa modific setarile individual
   13 | accept toate
   13 | mai multe detalii
   13 | mehr erfahren...
   13 | informationen
   13 | de
   13 | details section
   13 | our 1014 partners
   13 | gdpr legal cookie
   13 | alle cookies
   13 | eingebettete inhalte
   13 | annehmen und schließen
   13 | social-media-cookies
   13 | detaljer
   13 | report
   13 | cookies erlauben
   13 | funktional, analytik, werbung (nicht iab-anbieter), soziale medien und unbedingt erforderliche cookies
   13 | datenschutzhinweisen.
   13 | nein, individuell entscheiden
   13 | tc
   13 | ohne werbetracking für 3.99 € monat
   13 | find out more
   13 | externe medien
   13 | hier anmelden.
   13 | nur ausgewählte zulassen
   13 | data protection declaration
   13 | analyse von zielgruppen durch statistiken oder kombinationen von daten aus verschiedenen quellen
   13 | benutzerdefinierte einstellungen
   13 | notwendige
   12 | verwalten
   12 | nutzungsanalyse
   12 | ablehnen (videos, karten, cookies)
   12 | speichern wie oben ausgewählt
   12 | alle akzeptieren nur essentielle cookies akzeptieren individuelle cookie einstellungen
   12 | verwerfen
   12 | drittanbietern
   12 | cookie richtlinie
   12 | mehr informationen.
   12 | analytische cookies
   12 | cookie-einwilligung mit real cookie banner
   12 | dienste verwalten
   12 | our privacy policy
   12 | funktionell
   12 | tillad alle
   12 | datenschutzseite
   12 | change here
   12 | 1703 partners
   12 | prüfung der anwendbarkeit der utiq-technologie
   12 | rechtliche hinweise
   12 | accetta
   12 | datenschutzbedingungen
   12 | einstellungen akzeptieren
   12 | exit here
   12 | akzeptieren weiter
   12 | accept selection
   12 | aceptar y continuar
   12 | pay to reject
   11 | принять
   11 | accept and close
   11 | werbefrei für 0,50 € woche
   11 | performance
   11 | details einblenden für analyse
   11 | ok, got it
   11 | zum impressum
   11 | i agree!
   11 | kun nødvendige
   11 | terms
   11 | unserer datenschutzerklärung
   11 | anbieterliste
   11 | in unserer datenschutzerklärung
